"Story","Title","Result","Date","Stability","Duration (s)"
"Testing Delete Posts REST API","API DELETE posts with invalid parameter","FAILURE","2023-01-20T18:55:49.912+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Get Posts REST API","API GET with invalid parameter id","FAILURE","2023-01-20T18:55:54.205+07:00[Asia/Bangkok]","0.0","0.83"
"Testing Post Posts REST API","API POST new posts with blank parameter","FAILURE","2023-01-20T18:55:56.13+07:00[Asia/Bangkok]","0.0","1.05"
"Testing Post Posts REST API","API POST with invalid type data body","FAILURE","2023-01-20T18:55:57.182+07:00[Asia/Bangkok]","0.0","1.03"
"Testing Post Posts REST API","API POST new posts with extra parameter","FAILURE","2023-01-20T18:55:58.223+07:00[Asia/Bangkok]","0.0","1.04"
"Testing Post Posts REST API","API POST with less category body","FAILURE","2023-01-20T18:55:59.27+07:00[Asia/Bangkok]","0.0","1.04"
"Testing Put Posts REST API","API PUT with blank body","FAILURE","2023-01-20T18:56:01.461+07:00[Asia/Bangkok]","0.0","1.14"
"Testing Put Posts REST API","API PUT with invalid type data body","FAILURE","2023-01-20T18:56:02.607+07:00[Asia/Bangkok]","0.0","1.07"
"Testing Put Posts REST API","API PUT with extra body","FAILURE","2023-01-20T18:56:03.684+07:00[Asia/Bangkok]","0.0","0.83"
"Testing Put Posts REST API","API PUT with less category body","FAILURE","2023-01-20T18:56:04.515+07:00[Asia/Bangkok]","0.0","1.09"
"Testing Delete Todos JsonPlaceHolder API","Delete todos with valid id but out of range should failed then return 404 response code","FAILURE","2023-01-20T18:56:06.66+07:00[Asia/Bangkok]","0.0","1.02"
"Testing Delete Todos JsonPlaceHolder API","DELETE todos with invalid id should failed then return 400 response code","FAILURE","2023-01-20T18:56:07.692+07:00[Asia/Bangkok]","0.0","1.1"
"Testing GET todos JsonPlaceHolder API","Get todos with invalid parameter id as string should failed then return 400 response code","FAILURE","2023-01-20T18:56:11.734+07:00[Asia/Bangkok]","0.0","0.91"
"Testing POST Todos JsonPlaceHolder API","POST Todos with blank parameter should failed then return 400 response code","FAILURE","2023-01-20T18:56:17.764+07:00[Asia/Bangkok]","0.0","0.83"
"Testing POST Todos JsonPlaceHolder API","POST Todos with extra body category should failed then return 400 response code","FAILURE","2023-01-20T18:56:18.604+07:00[Asia/Bangkok]","0.0","1.03"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T18:56:19.636+07:00[Asia/Bangkok]","0.0","1.03"
"Testing POST Todos JsonPlaceHolder API","POST Todos with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T18:56:20.672+07:00[Asia/Bangkok]","0.0","1.03"
"Testing PUT Todos JsonPlaceHolder API","Put update user with difference userID and id should failed then return 400 response code","FAILURE","2023-01-20T18:56:22.798+07:00[Asia/Bangkok]","0.0","1.05"
"Testing PUT Todos JsonPlaceHolder API","Put update user with blank body should failed then return 400 response code","FAILURE","2023-01-20T18:56:23.857+07:00[Asia/Bangkok]","0.0","1.09"
"Testing PUT Todos JsonPlaceHolder API","Put update user with extra body category should failed then return 400 response code","FAILURE","2023-01-20T18:56:24.948+07:00[Asia/Bangkok]","0.0","1.07"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body data type should failed then return 400 response code","FAILURE","2023-01-20T18:56:26.028+07:00[Asia/Bangkok]","0.0","1.1"
"Testing PUT Todos JsonPlaceHolder API","Put update user with invalid body category should failed then return 400 response code","FAILURE","2023-01-20T18:56:27.132+07:00[Asia/Bangkok]","0.0","1.1"
